Date,Price,Open,High,Low,Vol.,Change %
2022/11/05,86.61,86.695,86.73,86.655,0.01K,-0.10%
2022/10/05,86.7,86.695,86.725,86.695,0.01K,0.21%
2022/09/05,86.52,86.445,86.74,86.445,0.01K,0.39%
2022/06/05,86.18,86.445,86.605,86.355,0.00K,-0.21%
2022/05/05,86.36,86.475,86.49,86.43,0.01K,0.10%
2022/04/05,86.27,86.77,86.81,86.77,0.00K,0.10%
2022/03/05,86.18,86.76,86.76,86.76,,-0.10%
2022/02/05,86.27,86.77,86.77,86.77,,-0.10%
04/29/2022,86.36,86.615,86.69,86.615,0.00K,0.00%
04/28/2022,86.36,86.475,86.56,86.405,0.01K,0.00%
04/27/2022,86.36,86.445,86.565,86.405,0.01K,0.00%
04/26/2022,86.36,86.195,86.545,86.155,0.01K,0.29%
04/25/2022,86.11,86.225,86.32,86.18,0.00K,0.10%
04/22/2022,86.02,86.43,86.45,86.385,0.00K,-0.21%
04/21/2022,86.2,86.195,86.225,86.195,0.01K,0.00%
04/20/2022,86.2,86.195,86.225,86.195,0.01K,0.10%
04/19/2022,86.11,86.195,86.315,86.155,0.01K,0.09%
04/18/2022,86.03,86.225,86.315,86.115,0.01K,0.10%
04/14/2022,85.94,86.465,86.47,86.425,0.00K,-0.20%
04/13/2022,86.11,86.195,86.39,86.155,0.01K,0.21%
2022/12/04,85.93,86.225,86.325,86.065,0.01K,-0.01%
2022/11/04,85.94,86.225,86.325,86.095,0.01K,-0.09%
2022/08/04,86.02,86.55,86.555,86.55,0.00K,-0.10%
2022/07/04,86.11,86.225,86.325,86.13,0.01K,0.12%
2022/06/04,86.01,86.195,86.315,86.105,0.01K,-0.10%
2022/05/04,86.1,86.225,86.32,86.115,0.01K,0.08%
2022/04/04,86.03,86.225,86.62,86.115,0.01K,-0.09%
2022/01/04,86.11,86.275,86.575,86.275,0.00K,-0.10%
03/31/2022,86.2,86.195,86.225,86.195,0.01K,0.00%
03/30/2022,86.2,86.195,86.225,86.195,0.01K,0.00%
03/29/2022,86.2,86.225,86.225,86.195,0.00K,0.10%
03/28/2022,86.11,86.195,86.32,86.155,0.01K,0.10%
